"name","firstName","lastName","email","address","vehicle"
"Raymond Hayes","Raymond","Hayes","raymondhayes@googlemail.com","22, Glendale Road, stirling FK11 5TY","Mercedes-Benz C Class AMG"
"Daniel Lescott","Daniel","Lescott","daniellescott@outlook.com","1, Glasgow Road, Edinburgh, EH56 4RE","Audi R8"
"Daniel Baxter","Daniel","Baxter","danielbaxter@live.co.uk","Grand Arcade, Lisington lane, London, W1 6TY","Audi A3"
"Betty Brown","Betty","Brown","bettybrown@hotmail.co.uk","150, Inglewood Avenue, Bradford,BD45 3RE","Range Rover Vogue"
"Joshua Montgomery","Joshua","Montgomery","joshuamontgomery@live.co.uk","64, Busy Street, London, W2 3RT","Range Rover Sport"
"David James","David","James","davidjames@aol.com","123 Fake Lane, Fakeland, G12 3RE","Vauxhall Corsa"
"Carol Martin","Carol","Martin","carolmartin@googlemail.com","123 Fake Lane, Fakeland, G12 3RE","Ford Ka"
"Linda Murray","Linda","Murray","lindamurray@hotmail.co.uk","10, Pinetree Avenue, Lenzie, G66 7YU","Range Rover Vogue"
"William Norman","William","Norman","williamnorman@example.com","22, Glendale Road, stirling FK11 5TY","Audi R8"
"Christopher Weir","Christopher","Weir","christopherweir@live.com","1, Glasgow Road, Edinburgh, EH56 4RE","Ford Ka"
